artist_name,count
William Stinson Soule,1
Louis Ducos Du Hauron,1
Alexis de Lagrange,1
Samuel Bemis,1
Auguste Belloc,1
Altobelli & Molins,1
Alois Auer,1
Nevil Story Maskelyne,1
Gustave Penabert,1
Antoine-Samuel Adam-Salomon,1
Andre-Victor-Alcide-Jules Itier,1
Thomas Annan,1
Charles Hippolyte Aubry,1
Rufus Anson,1
Fujita,1
Yokoyama Matsusaburō,1
Lord Otho Fitzgerald,1
George Downes,1
Adalbert Cuvelier,1
Louis Rousseau,1
John K. Hillers,1
Henry Fitz Jr.,1
Thomas Davies,1
John Gregory Crace,1
Carlo Naya,1
Peter Welling,1
Aimé Dupont,1
Hippolyte Malègue,1
Duroni et Murer,1
Anthony Berger,1
Edmond Bénard,1
"James Presley Ball, Sr.",1
Charles Spitz,1
Stacy,1
Stephen Thompson,1
Charles William Carter,1
