object_id,has_person,person_percent,has_building,building_percent,has_tree,tree_percent,has_mountain,mountain_percent,has_grass,grass_percent,has_water,water_percent,has_rock,rock_percent,has_house,house_percent,has_road,road_percent,has_sidewalk,sidewalk_percent,has_fence,fence_percent,has_sea,sea_percent,has_animal,animal_percent,has_column,column_percent,has_boat,boat_percent,has_river,river_percent,has_plant,plant_percent,has_curtain,curtain_percent,has_windowpane,windowpane_percent,has_chair,chair_percent,has_field,field_percent,has_table,table_percent,has_hovel,hovel_percent,has_tent,tent_percent,has_bridge,bridge_percent,has_bench,bench_percent,has_pier,pier_percent,artist_name,origin,creation_year,work_type,works_in_museum
263189,,,1.0,33.27,,,,,,,,,,,,,,,,,,,,,,,1.0,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,Robert Murray,British,1856,Photograph,3
263190,1.0,8.04,,,,,,,,,1.0,35.44,,,,,,,,,,,,,,,,,,,,,1.0,3.11,,,,,,,,,,,,,,,,,,,,,John Dillwyn Llewelyn,"British, Welsh",1856,Photograph,56
263191,1.0,3.75,,,1.0,12.01,,,1.0,3.79,,,,,1.0,4.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Robert Murray,British,1856,Photograph,3
263192,1.0,10.38,,,,,,,,,,,,,,,,,,,,,,,1.0,13.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lai Fong,Chinese,1867,Photograph,14
263193,1.0,14.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,William Thomas Saunders,British,1867,Photograph,7
263194,1.0,8.53,1.0,22.58,1.0,21.84,,,1.0,0.42,,,,,1.0,5.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,William Thomas Saunders,British,1867,Photograph,7
263204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,John Adams Whipple|James Wallace Black,American|American,1860,Photograph,4
263214,,,,,,,1.0,3.26,1.0,9.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Maxime Du Camp|Imprimerie photographique de Blanquart-Évrard, à Lille",French|French,1849,Photograph,35
263215,,,,,1.0,2.38,1.0,17.63,1.0,3.61,,,1.0,20.29,,,,,,,,,1.0,2.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Maxime Du Camp|Imprimerie photographique de Blanquart-Évrard, à Lille",French|French,1850,Photograph,35
263217,,,1.0,23.46,1.0,9.14,,,1.0,9.0,1.0,0.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Maxime Du Camp|Imprimerie photographique de Blanquart-Évrard, à Lille",French|French,1850,Photograph,35
263218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Maxime Du Camp|Imprimerie photographique de Blanquart-Évrard, à Lille",French|French,1850,Photograph,35
263219,,,,,,,1.0,11.82,,,,,,,,,,,,,,,1.0,34.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Maxime Du Camp|Imprimerie photographique de Blanquart-Évrard, à Lille",French|French,1850,Photograph,35
263220,,,1.0,4.95,,,,,1.0,26.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Maxime Du Camp|Imprimerie photographique de Blanquart-Évrard, à Lille",French|French,1850,Photograph,35
263221,,,1.0,29.26,,,,,,,,,1.0,18.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Maxime Du Camp|Imprimerie photographique de Blanquart-Évrard, à Lille",French|French,1850,Photograph,35
263222,1.0,0.6,,,,,,,,,,,,,,,,,,,,,,,1.0,0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Maxime Du Camp|Imprimerie photographique de Blanquart-Évrard, à Lille",French|French,1850,Photograph,35
263224,,,1.0,46.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Maxime Du Camp|Imprimerie photographique de Blanquart-Évrard, à Lille",French|French,1850,Photograph,35
263225,,,1.0,25.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Maxime Du Camp|Imprimerie photographique de Blanquart-Évrard, à Lille",French|French,1850,Photograph,35
263226,,,,,,,1.0,3.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Maxime Du Camp|Imprimerie photographique de Blanquart-Évrard, à Lille",French|French,1850,Photograph,35
263227,,,,,1.0,11.57,1.0,2.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Maxime Du Camp|Imprimerie photographique de Blanquart-Évrard, à Lille",French|French,1850,Photograph,35
263228,,,1.0,9.24,1.0,3.44,1.0,2.6,1.0,0.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Maxime Du Camp|Imprimerie photographique de Blanquart-Évrard, à Lille",French|French,1850,Photograph,35
263229,,,,,1.0,0.3,1.0,9.12,1.0,0.35,1.0,2.98,1.0,7.99,,,1.0,1.33,1.0,0.47,,,1.0,7.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Maxime Du Camp|Imprimerie photographique de Blanquart-Évrard, à Lille",French|French,1850,Photograph,35
263230,,,,,,,1.0,41.92,1.0,2.37,,,,,,,,,,,1.0,0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Maxime Du Camp|Imprimerie photographique de Blanquart-Évrard, à Lille",French|French,1850,Photograph,35
263231,,,1.0,21.04,,,,,1.0,8.0,,,1.0,12.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Maxime Du Camp|Imprimerie photographique de Blanquart-Évrard, à Lille",French|French,1850,Photograph,35
263232,,,1.0,28.86,1.0,18.36,,,,,,,1.0,0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Maxime Du Camp|Imprimerie photographique de Blanquart-Évrard, à Lille",French|French,1850,Photograph,35
263234,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Maxime Du Camp|Imprimerie photographique de Blanquart-Évrard, à Lille",French|French,1850,Photograph,35
263235,,,1.0,20.8,1.0,2.12,,,1.0,8.39,,,1.0,21.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Maxime Du Camp|Imprimerie photographique de Blanquart-Évrard, à Lille",French|French,1850,Photograph,35
263236,,,1.0,14.03,,,,,,,,,1.0,11.28,,,,,,,,,,,,,,,,,,,,,,,1.0,0.41,,,,,,,1.0,5.34,,,,,,,,,"Maxime Du Camp|Imprimerie photographique de Blanquart-Évrard, à Lille",French|French,1850,Photograph,35
263237,,,1.0,26.35,1.0,8.35,1.0,38.45,,,,,1.0,2.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Maxime Du Camp|Imprimerie photographique de Blanquart-Évrard, à Lille",French|French,1850,Photograph,35
263303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hugh Owen|Nicolaas Henneman,British|Dutch,1851,Photograph,10
263305,1.0,9.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hugh Owen|Nicolaas Henneman,British|Dutch,1851,Photograph,10
263440,,,1.0,33.65,1.0,1.36,1.0,20.46,1.0,0.36,,,1.0,13.17,,,,,,,,,1.0,4.07,,,,,,,1.0,1.65,,,,,,,,,,,,,,,,,,,,,,,Félix Bonfils,French,1872,Photograph,147
263461,,,,,,,,,,,,,1.0,1.08,,,,,,,,,,,1.0,0.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jeremiah Gurney|Charles B. J. F. de Saint-Mémin,American|French,1862,Photograph,2
263462,1.0,12.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jeremiah Gurney|Charles B. J. F. de Saint-Mémin,American|French,1862,Photograph,2
263539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,James Anderson,British,1869,Photograph,3
263541,,,,,,,1.0,10.92,,,,,1.0,10.58,1.0,2.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wilhelm Hammerschmidt,"German, born Prussia",1862,Photograph,83
263549,1.0,31.95,1.0,1.47,1.0,19.87,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.17,,,,,,,,,,,,,,,,,,,,,Christian Barthelmess,American,1899,Photograph,1
